location,trap_set_date,week_ending_saturday,epi_week,year,site_type,lat,lon,lga_code_2011,lga_name_2011,lga_code_2016,lga_name_2016,lga_name_2020,lhd,virus
Port Macquarie,39784,16/02/2008,8,2008,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Port Stephens,39570,09/02/2008,8,2008,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Lake Macquarie,17/02/2015,21/02/2015,8,2015,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Newcastle,17/02/2025,22/02/2025,8,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Barmah Forest
Griffith,42310,14/02/2015,8,2015,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Leeton,42310,14/02/2015,8,2015,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Griffith,42371,06/02/2016,8,2016,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Bankstown,18/02/2014,22/02/2014,8,2014,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Barmah Forest
Georges River - East,18/02/2014,22/02/2014,8,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Georges River - East,25/02/2014,01/03/2014,8,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Georges River - East,17/02/2015,21/02/2015,8,2015,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Northern Beaches,24/02/2021,27/02/2021,8,2021,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Sydney Olympic Park,29/02/2024,02/03/2024,8,2024,Sydney,-33.8354,151.0654,16250,Parramatta,12380,Parramatta,Parramatta,Western Sydney,Barmah Forest
Port Macquarie,44077,14/03/2020,11,2020,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Georges River - All,21/03/2018,24/03/2018,11,2018,Sydney,-33.977203,151.026151,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Forster,34883,11/03/1995,12,1995,Coastal,-32.1796,152.5118,13320,Great Lakes,15240,Mid-Coast,Mid-Coast,Hunter New England,Barmah Forest
Tathra,34702,04/03/1995,12,1995,Coastal,-36.7297,149.9858,10550,Bega Valley,10550,Bega Valley,Bega Valley,Southern NSW,Barmah Forest
Lake Macquarie,14/03/2006,18/03/2006,12,2006,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Port Stephens,38932,11/03/2006,12,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Macquarie,17/03/2014,22/03/2014,12,2014,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Central Coast,14/03/2018,17/03/2018,12,2018,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Port Macquarie,16/03/2020,21/03/2020,12,2020,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Central Coast,23/03/2023,25/03/2023,12,2023,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Newcastle,45415,09/03/2024,12,2024,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Barmah Forest
Batemans Bay,25/03/2025,29/03/2025,12,2025,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Griffith,41946,15/03/2014,12,2014,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Griffith,25/03/2025,29/03/2025,12,2025,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Parramatta,31/03/1995,01/04/1995,12,1995,Sydney,-33.8136,151.0034,16250,Parramatta,16250,Parramatta,Parramatta,Western Sydney,Barmah Forest
Georges River - East,19/03/2008,22/03/2008,12,2008,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Georges River - East,41762,08/03/2014,12,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Georges River - East,41946,15/03/2014,12,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Georges River - East,18/03/2014,22/03/2014,12,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Liverpool,18/03/2020,21/03/2020,12,2020,Sydney,-33.9286,150.918,14900,Liverpool,14900,Liverpool,Liverpool,South Western Sydney,Barmah Forest
Liverpool,22/03/2022,26/03/2022,12,2022,Sydney,-33.9286,150.918,14900,Liverpool,14900,Liverpool,Liverpool,South Western Sydney,Barmah Forest
Georges River,25/03/2025,29/03/2025,12,2025,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Northern Beaches,18/03/2025,22/03/2025,12,2025,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Parramatta,18/03/2025,22/03/2025,12,2025,Sydney,-33.8136,151.0034,16250,Parramatta,16250,Parramatta,Parramatta,Western Sydney,Barmah Forest
Penrith,25/03/2025,29/03/2025,12,2025,Sydney,-33.7507,150.6877,16350,Penrith,16350,Penrith,Penrith,Nepean Blue Mountains,Barmah Forest
Central Coast,41643,05/04/2014,16,2014,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Port Stephens,23/04/2014,26/04/2014,16,2014,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Macquarie,43500,06/04/2019,16,2019,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Tweed,43500,06/04/2019,16,2019,Coastal,-28.256,153.55,17550,Tweed,17550,Tweed,Tweed,Northern NSW,Barmah Forest
Ballina,15/04/2020,18/04/2020,16,2020,Coastal,-29.21,153.44,10250,Ballina,10250,Ballina,Ballina,Northern NSW,Barmah Forest
Central Coast,43834,04/04/2020,16,2020,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Tweed,43986,11/04/2020,16,2020,Coastal,-28.256,153.55,17550,Tweed,17550,Tweed,Tweed,Northern NSW,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,-29.4658,149.8339,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,-29.4658,149.8339,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Barmah Forest
Liverpool,27/04/2020,02/05/2020,16,2020,Sydney,-33.9286,150.918,14900,Liverpool,14900,Liverpool,Liverpool,South Western Sydney,Barmah Forest
Northern Beaches,43986,11/04/2020,16,2020,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Northern Beaches,27/04/2020,02/05/2020,16,2020,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Port Stephens,41855,12/04/2014,17,2014,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Macquarie,45508,13/04/2024,17,2024,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Lake Macquarie,16/05/2007,19/05/2007,20,2007,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Central Coast,44962,06/05/2023,21,2023,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Northern Beaches,44597,07/05/2022,21,2022,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Barmah Forest
Forbes,15/11/2016,19/11/2016,46,2016,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Barmah Forest
Griffith,16/11/2010,20/11/2010,47,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Griffith,14/11/2016,19/11/2016,47,2016,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Griffith,22/11/2022,26/11/2022,47,2022,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Macquarie Marshes,14/11/2022,19/11/2022,47,2022,Inland,-30.6959,147.6304,10950,Bogan,10950,Bogan,Bogan,Western NSW,Barmah Forest
Port Stephens,18/12/2007,22/12/2007,51,2007,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Griffith,13/12/2010,18/12/2010,51,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Leeton,40371,11/12/2010,51,2010,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Leeton,14/12/2010,18/12/2010,51,2010,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Leeton,23/12/2010,25/12/2010,51,2010,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Deniliquin,44724,10/12/2022,51,2022,Inland,-35.53,144.99,12500,Deniliquin,12730,Edward River,Edward River,Murrumbidgee,Barmah Forest
Griffith,44724,10/12/2022,51,2022,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Grong Grong,44907,17/12/2022,51,2022,Inland,-34.89,146.78,15800,Narrandera,15800,Narrandera,Narrandera,Murrumbidgee,Barmah Forest
Leeton,44693,10/12/2022,51,2022,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Batemans Bay,17/01/1995,21/01/1995,3,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Port Stephens,18/01/2010,23/01/2010,3,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Central Coast,16/01/2024,20/01/2024,3,2024,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Newcastle,23/01/2024,27/01/2024,3,2024,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Edge Hill
Tweed,29/01/2024,03/02/2024,3,2024,Coastal,-28.256,153.55,17550,Tweed,17550,Tweed,Tweed,Northern NSW,Edge Hill
Warren,18/01/1993,23/01/1993,3,1993,Inland,-31.7003,147.8359,17950,Warren,17950,Warren,Warren,Western NSW,Edge Hill
Albury,40848,15/01/2011,3,2011,Inland,-36.0737,146.9135,10050,Albury,10050,Albury,Albury,Murrumbidgee,Edge Hill
Griffith,29/01/2019,02/02/2019,3,2019,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Edge Hill
Corowa,45170,14/01/2023,3,2023,Inland,-35.91,146.39,12300,Corowa Shire,12870,Federation,Federation,Murrumbidgee,Edge Hill
Blacktown,22/01/2019,26/01/2019,3,2019,Sydney,-33.7668,150.9053,10750,Blacktown,10750,Blacktown,Blacktown,Western Sydney,Edge Hill
Georges River - East,43739,12/01/2019,3,2019,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - East,24/01/2019,26/01/2019,3,2019,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - West,43709,12/01/2019,3,2019,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - West,16/01/2019,19/01/2019,3,2019,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - West,23/01/2019,26/01/2019,3,2019,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
The Hills,23/01/2019,26/01/2019,3,2019,Sydney,-33.6049,150.9773,17420,The Hills,17420,The Hills,The Hills,Western Sydney,Edge Hill
Northern Beaches,29/01/2024,03/02/2024,3,2024,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Sydney Olympic Park,29/01/2024,03/02/2024,3,2024,Sydney,-33.8354,151.0654,16250,Parramatta,12380,Parramatta,Parramatta,Western Sydney,Edge Hill
Batemans Bay,31/01/1995,04/02/1995,4,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Central Coast,45352,06/01/2024,4,2024,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Bankstown,30/01/2024,03/02/2024,4,2024,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Edge Hill
Georges River - East,30/01/2024,03/02/2024,4,2024,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Warren,34214,13/02/1993,7,1993,Inland,-31.7003,147.8359,17950,Warren,17950,Warren,Warren,Western NSW,Edge Hill
Blacktown,26/02/2013,02/03/2013,7,2013,Sydney,-33.7668,150.9053,10750,Blacktown,10750,Blacktown,Blacktown,Western Sydney,Edge Hill
Homebush,42249,14/02/2015,7,2015,Sydney,-33.864,151.0819,17100,Strathfield,17100,Strathfield,Strathfield,Sydney,Edge Hill
Batemans Bay,34852,11/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Port Stephens,19/02/1996,24/02/1996,8,1996,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,38900,11/02/2006,8,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,40211,06/02/2010,8,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,18/02/2010,20/02/2010,8,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,28/02/2012,03/03/2012,8,2012,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Macquarie,42584,13/02/2016,8,2016,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Port Macquarie,24/02/2020,29/02/2020,8,2020,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Clarence Valley,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Batemans Bay,45445,10/02/2024,8,2024,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Central Coast,45475,10/02/2024,8,2024,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Newcastle,45445,10/02/2024,8,2024,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Edge Hill
Newcastle,45628,17/02/2024,8,2024,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Edge Hill
Port Macquarie,45628,17/02/2024,8,2024,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Griffith,36162,06/02/1999,8,1999,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Edge Hill
Leeton,39601,09/02/2008,8,2008,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Edge Hill
Murray-Mathoura,40576,05/02/2011,8,2011,Inland,-35.818,144.912,15500,Murray,15520,Murray River,Murray River,Murrumbidgee,Edge Hill
Moree,19/02/2023,25/02/2023,8,2023,Inland,-29.4658,149.8339,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Edge Hill
Hawkesbury,14/02/2008,16/02/2008,8,2008,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Edge Hill
Georges River - West,24/02/2015,28/02/2015,8,2015,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - West,43801,16/02/2019,8,2019,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Canada Bay,29/02/2024,02/03/2024,8,2024,Sydney,-33.8652,151.1093,11520,Canada Bay,11520,Canada Bay,Canada Bay,Sydney,Edge Hill
Georges River - West,45475,10/02/2024,8,2024,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Northern Beaches,20/02/2024,24/02/2024,8,2024,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Parramatta,45445,10/02/2024,8,2024,Sydney,-33.8136,151.0034,16250,Parramatta,16250,Parramatta,Parramatta,Western Sydney,Edge Hill
Sydney Olympic Park,45414,10/02/2024,8,2024,Sydney,-33.8354,151.0654,16250,Parramatta,12380,Parramatta,Parramatta,Western Sydney,Edge Hill
Port Stephens,16/03/1998,21/03/1998,11,1998,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Boggabilla,35372,16/03/1996,11,1996,Inland,-28.6053,150.3605,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Edge Hill
Grong Grong,45385,09/03/2024,11,2024,Inland,-34.89,146.78,15800,Narrandera,15800,Narrandera,Narrandera,Murrumbidgee,Edge Hill
Georges River - West,26/03/2017,01/04/2017,11,2017,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
